CALCULATOR;BASE;WIDTH;HEIGHT;ITERS;TIME
RefMandelCalculator;512;1536;1024;100;119
RefMandelCalculator;512;1536;1024;100;119
RefMandelCalculator;512;1536;1024;100;119
LineMandelCalculator;512;1536;1024;100;16
LineMandelCalculator;512;1536;1024;100;16
LineMandelCalculator;512;1536;1024;100;16
RefMandelCalculator;1024;3072;2048;100;476
RefMandelCalculator;1024;3072;2048;100;476
RefMandelCalculator;1024;3072;2048;100;476
BatchMandelCalculator;512;1536;1024;100;12
LineMandelCalculator;1024;3072;2048;100;70
BatchMandelCalculator;512;1536;1024;100;12
BatchMandelCalculator;512;1536;1024;100;12
LineMandelCalculator;1024;3072;2048;100;66
LineMandelCalculator;1024;3072;2048;100;67
RefMandelCalculator;2048;6144;4096;100;1898
RefMandelCalculator;2048;6144;4096;100;1898
RefMandelCalculator;2048;6144;4096;100;1897
BatchMandelCalculator;1024;3072;2048;100;49
LineMandelCalculator;2048;6144;4096;100;288
BatchMandelCalculator;1024;3072;2048;100;49
LineMandelCalculator;2048;6144;4096;100;291
BatchMandelCalculator;1024;3072;2048;100;49
LineMandelCalculator;2048;6144;4096;100;302
RefMandelCalculator;4096;12288;8192;100;7573
RefMandelCalculator;4096;12288;8192;100;7572
RefMandelCalculator;4096;12288;8192;100;7573
BatchMandelCalculator;2048;6144;4096;100;192
LineMandelCalculator;4096;12288;8192;100;1119
BatchMandelCalculator;2048;6144;4096;100;193
LineMandelCalculator;4096;12288;8192;100;1118
BatchMandelCalculator;2048;6144;4096;100;192
LineMandelCalculator;4096;12288;8192;100;1123
RefMandelCalculator;512;1536;1024;1000;1042
RefMandelCalculator;512;1536;1024;1000;1042
RefMandelCalculator;512;1536;1024;1000;1042
BatchMandelCalculator;4096;12288;8192;100;763
LineMandelCalculator;512;1536;1024;1000;125
BatchMandelCalculator;4096;12288;8192;100;763
BatchMandelCalculator;4096;12288;8192;100;766
LineMandelCalculator;512;1536;1024;1000;121
LineMandelCalculator;512;1536;1024;1000;125
RefMandelCalculator;1024;3072;2048;1000;4171
RefMandelCalculator;1024;3072;2048;1000;4170
RefMandelCalculator;1024;3072;2048;1000;4170
BatchMandelCalculator;512;1536;1024;1000;69
BatchMandelCalculator;512;1536;1024;1000;69
LineMandelCalculator;1024;3072;2048;1000;500
BatchMandelCalculator;512;1536;1024;1000;70
LineMandelCalculator;1024;3072;2048;1000;500
LineMandelCalculator;1024;3072;2048;1000;501
RefMandelCalculator;2048;6144;4096;1000;16679
RefMandelCalculator;2048;6144;4096;1000;16695
RefMandelCalculator;2048;6144;4096;1000;16689
BatchMandelCalculator;1024;3072;2048;1000;281
BatchMandelCalculator;1024;3072;2048;1000;282
LineMandelCalculator;2048;6144;4096;1000;2228
BatchMandelCalculator;1024;3072;2048;1000;282
LineMandelCalculator;2048;6144;4096;1000;2229
LineMandelCalculator;2048;6144;4096;1000;2237
RefMandelCalculator;4096;12288;8192;1000;66740
RefMandelCalculator;4096;12288;8192;1000;66710
RefMandelCalculator;4096;12288;8192;1000;66774
BatchMandelCalculator;2048;6144;4096;1000;1109
BatchMandelCalculator;2048;6144;4096;1000;1128
LineMandelCalculator;4096;12288;8192;1000;8571
BatchMandelCalculator;2048;6144;4096;1000;1164
LineMandelCalculator;4096;12288;8192;1000;8568
LineMandelCalculator;4096;12288;8192;1000;8585
BatchMandelCalculator;4096;12288;8192;1000;4360
BatchMandelCalculator;4096;12288;8192;1000;4355
BatchMandelCalculator;4096;12288;8192;1000;4361
